front,back
What is the powerhouse of the cell?,Mitochondria
What is the process by which plants make food?,Photosynthesis
What is the basic unit of life?,Cell
What is DNA?,Deoxyribonucleic acid - carries genetic information
What are the four bases in DNA?,"Adenine (A) Thymine (T) Guanine (G) Cytosine (C)"
What is the difference between prokaryotes and eukaryotes?,Prokaryotes lack a nucleus; eukaryotes have a nucleus
What is osmosis?,Movement of water across a semi-permeable membrane
What is the function of ribosomes?,Protein synthesis
What is cellular respiration?,Process that converts glucose into ATP (energy)
What are the phases of mitosis?,"Prophase Metaphase Anaphase Telophase"
What is an enzyme?,Protein that speeds up chemical reactions
What is the pH scale?,Measures acidity/alkalinity from 0-14
What is homeostasis?,Maintaining stable internal conditions
What is natural selection?,Survival of organisms best adapted to their environment
What is a chromosome?,Structure containing DNA and proteins
What is the difference between genotype and phenotype?,Genotype = genetic makeup; Phenotype = observable traits
What is photosynthesis equation?,6CO₂ + 6H₂O + light → C₆H₁₂O₆ + 6O₂
What is cellular respiration equation?,C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O + ATP
What are the three domains of life?,"Bacteria Archaea Eukarya"
What is evolution?,Change in heritable traits over successive generations
