front,back
When did World War II end?,1945
Who was the first President of the United States?,George Washington
When was the Declaration of Independence signed?,July 4 1776
What year did the Berlin Wall fall?,1989
Who wrote the Communist Manifesto?,Karl Marx and Friedrich Engels
When did the American Civil War begin?,1861
What empire did Julius Caesar rule?,Roman Empire
When did the French Revolution begin?,1789
Who was the first person to walk on the moon?,Neil Armstrong (1969)
What year did the Titanic sink?,1912
When did World War I begin?,1914
Who was the Egyptian queen who ruled with Julius Caesar?,Cleopatra VII
What year did the United States gain independence?,1776
When did the Great Depression begin?,1929
Who was the British Prime Minister during most of WWII?,Winston Churchill
What ancient wonder was located in Alexandria?,Lighthouse of Alexandria
When did the Renaissance period begin?,14th century (1300s)
Who conquered most of Europe in the early 1800s?,Napoleon Bonaparte
What year did the Soviet Union collapse?,1991
When did Columbus reach the Americas?,1492
