front,back
What is the formula for the area of a circle?,A = πr²
What is the Pythagorean theorem?,a² + b² = c²
What is the quadratic formula?,x = (-b ± √(b²-4ac)) / 2a
What is the derivative of x²?,2x
What is the integral of 2x?,x² + C
What is 15% of 80?,12
What is the slope-intercept form of a line?,y = mx + b
What is the distance formula?,d = √[(x₂-x₁)² + (y₂-y₁)²]
What is the sum of angles in a triangle?,180°
What is the volume of a sphere?,V = (4/3)πr³
Factor: x² - 9,(x + 3)(x - 3)
Solve: 2x + 6 = 14,x = 4
What is sin(30°)?,1/2 or 0.5
What is cos(60°)?,1/2 or 0.5
What is tan(45°)?,1
Convert 0.25 to a fraction,1/4
What is 7! (7 factorial)?,5040
What is log₁₀(100)?,2
What is the mean of: 2 4 6 8?,5
What is 3⁴?,81
